txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN1079,12-09-2024,IRCTC,11411.86,INR,PENDING,Travel,ACC004,
TXN1008,25-11-2024,IRCTC,2185.93,INR,failed,Travel,ACC005,Verified
TXN1035,12-04-2024,IRCTC,5277.39,INR,success,Travel,ACC003,
TXN1072,06-02-2024,Zomato,13862.47,USD,success,Food,ACC005,Refund expected
TXN1039,15-11-2024,BookMyShow,9967.64,INR,PENDING,Entertainment,ACC003,SUSPICIOUS
TXN1079,12-09-2024,IRCTC,11411.86,INR,PENDING,Travel,ACC004,
TXN1038,07-04-2024,Flipkart,713.58,INR,success,Shopping,ACC001,
TXN1026,2024/06/02,IRCTC,4776.85,INR,failed,Travel,ACC001,SUSPICIOUS
TXN1040,03-08-2024,Ola,10175.9,inr,failed,Transport,ACC003,Duplicate?
TXN1058,2024/06/23,Swiggy,12751.16,INR,PENDING,Food,ACC004,Refund expected
,2024/04/21,Zomato,7605.06,USD,failed,Food,ACC004,SUSPICIOUS
TXN1022,20-08-2024,Flipkart,6373.96,INR,PENDING,Shopping,ACC003,Refund expected
TXN1075,16-02-2024,Zomato,14430.57,USD,FAILED,Food,ACC002,Verified
TXN1012,2024/11/16,Flipkart,12632.96,INR,success,Shopping,ACC005,
TXN1074,04-06-2024,Ola,14143.01,inr,SUCCESS,Transport,ACC003,SUSPICIOUS
TXN1063,20-12-2024,Zomato,4627.78,USD,PENDING,Food,ACC005,Duplicate?
TXN1013,07-09-2024,Swiggy,1722.42,INR,success,,ACC005,
TXN1057,03-06-2024,Jio Recharge,$12092.64,INR,failed,Utilities,ACC003,
TXN1010,14-07-2024,Jio Recharge,14942.01,INR,SUCCESS,Utilities,ACC001,
TXN1046,15-09-2024,Ola,12467.01,inr,PENDING,Transport,ACC002,
TXN1017,17-01-2024,BookMyShow,1109.32,INR,success,Entertainment,ACC005,SUSPICIOUS
TXN1050,02-08-2024,MakeMyTrip,11225.36,USD,success,Travel,ACC004,
TXN1078,2024/02/29,Ola,12980.41,inr,PENDING,Transport,ACC002,SUSPICIOUS
TXN1041,23-10-2024,Jio Recharge,9837.85,INR,PENDING,Utilities,ACC002,
TXN1035,12-04-2024,IRCTC,5277.39,INR,success,Travel,ACC003,
TXN1037,15-05-2024,Swiggy,1670.62,INR,failed,Food,ACC001,Verified
TXN2003,2024-07-15,IRCTC,193647.29,INR,SUCCESS,,ACC002,
TXN1048,2024/04/28,Ola,10424.55,inr,failed,Transport,ACC001,Refund expected
TXN1016,25-04-2024,Amazon,5104.38,INR,SUCCESS,Shopping,ACC001,Refund expected
TXN1053,13-07-2024,Flipkart,11292.55,INR,SUCCESS,Shopping,ACC001,Duplicate?
TXN1033,13-10-2024,Ola,14608.86,inr,success,Transport,ACC002,Verified
TXN1031,14-10-2024,Swiggy,1722.51,INR,SUCCESS,Food,ACC005,SUSPICIOUS
TXN1000,23-11-2024,Amazon,423.91,INR,failed,,ACC004,
TXN2002,2024-07-15,Ola,91185.1,INR,SUCCESS,,ACC001,
TXN1055,2024/04/21,IRCTC,10507.0,INR,SUCCESS,Travel,ACC002,Duplicate?
TXN1036,22-05-2024,BookMyShow,9640.15,INR,SUCCESS,Entertainment,ACC003,Refund expected
TXN2001,2024-07-15,Flipkart,146100.68,INR,SUCCESS,,ACC005,
,20-11-2024,Ola,12448.75,inr,FAILED,Transport,ACC004,SUSPICIOUS
TXN1007,10-06-2024,Ola,4052.73,inr,FAILED,Transport,ACC004,Verified
TXN1015,18-04-2024,MakeMyTrip,11341.21,USD,FAILED,Travel,ACC005,Verified
TXN2004,2024-07-15,IRCTC,191918.37,INR,SUCCESS,,ACC003,
TXN1067,08-09-2024,Amazon,13097.16,INR,success,Shopping,ACC003,
TXN1020,22-05-2024,IRCTC,3784.61,INR,failed,,ACC005,
TXN1042,20-09-2024,Jio Recharge,5061.06,INR,success,Utilities,ACC002,
TXN1016,25-04-2024,Amazon,5104.38,INR,SUCCESS,Shopping,ACC001,Refund expected
TXN1061,30-06-2024,Flipkart,5138.07,INR,SUCCESS,Shopping,ACC002,
,18-07-2024,Jio Recharge,14193.63,INR,PENDING,,ACC003,Duplicate?
TXN1027,15-05-2024,HDFC ATM,14002.23,INR,success,Cash Withdrawal,ACC005,
TXN1051,08-12-2024,Ola,10876.51,inr,failed,,ACC004,SUSPICIOUS
TXN1052,14-01-2024,Amazon,9659.11,INR,PENDING,Shopping,ACC004,Duplicate?
TXN1044,16-03-2024,Swiggy,13395.26,INR,success,Food,ACC005,Verified
TXN1029,19-05-2024,Flipkart,9092.21,INR,FAILED,Shopping,ACC003,
TXN2000,2024-07-15,Jio Recharge,175917.65,INR,SUCCESS,,ACC002,
TXN1056,14-01-2024,Flipkart,8658.16,INR,success,,ACC002,
